PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Leighton_ratio,VOC_NOx_ratio,O3_lag1,NOx_lag1
83.37,363.8,34.68,46.75,67.35,18.0,6.45,3.54,33.04,0.58,23.99638115183246,0.0084857351865398,41.99,62.85
94.51,363.8,29.82,38.18,55.56,15.43,7.1,2.84,34.49,0.58,26.25042879019908,0.0102545968882602,33.04,67.35
92.34,363.8,31.77,40.17,59.11,16.18,9.31,3.03,37.18,0.58,28.691003157639056,0.0096489768757278,34.49,55.56
76.05,193.07,33.54,42.81,63.0,17.31,5.04,3.4,33.4,0.58,25.570326409495543,0.0090625,37.18,59.11
65.15,143.01,22.17,29.9,41.27,12.18,5.95,2.81,34.5,0.58,24.752912621359226,0.0137213153536787,33.4,63.0
68.61,194.41,25.02,30.23,44.34,13.41,3.55,2.39,30.76,0.58,24.643458213256487,0.0127922364358182,34.5,41.27
45.23,112.26,31.05,36.05,55.05,17.75,2.69,2.16,33.16,0.58,27.78995951417004,0.0103479036574487,30.76,44.34
44.88,89.35,21.88,26.65,38.34,14.08,1.65,2.09,31.85,0.58,25.20354430379747,0.0147432638535841,33.16,55.05
43.01,81.87,20.49,24.7,35.37,12.51,1.31,1.88,26.18,0.58,20.872692607003888,0.0159472092383832,31.85,38.34
76.33,102.71,21.43,26.81,37.81,12.32,4.07,2.45,31.87,0.06,24.558579647608777,0.0015459933006956,26.18,35.37
76.58,122.7,25.3,32.56,46.52,17.03,2.72,2.23,37.59,0.01,28.33811084624553,0.0002104377104377,31.87,37.81
92.73,140.3,24.67,34.0,47.07,17.47,5.06,2.46,37.31,0.01,26.29822,0.0002080299563137,37.59,46.52
102.28,173.23,31.14,42.2,60.14,20.21,5.46,2.8,22.06,0.0,15.901583333333331,0.0,37.31,47.07
96.61,134.33,23.84,33.12,45.53,16.23,2.59,2.36,23.45,0.01,16.384759671746778,0.0002149151085321,22.06,60.14
87.55,136.45,22.84,31.33,43.09,15.88,1.85,2.15,24.87,0.01,17.569774203526137,0.0002268088001814,23.45,45.53
95.94,150.16,20.03,26.48,36.36,13.97,1.12,1.97,23.88,0.01,17.40598253275109,0.0002676659528907,24.87,43.09
103.91,153.08,25.46,34.41,48.18,16.74,4.07,2.37,34.18,0.0,24.57562270545044,0.0,23.88,36.36
131.65,240.63,25.73,33.36,47.59,16.71,2.86,2.77,39.64,0.0,29.68385331781141,0.0,34.18,48.18
122.66,244.75,29.03,36.33,53.27,17.1,3.08,2.75,33.04,0.0,25.69384409322261,0.0,39.64,47.59
131.93,289.14,26.86,33.49,48.82,14.92,2.72,2.58,34.1,0.01,26.556277181791824,0.0002007226013649,33.04,53.27
108.86,241.33,25.71,32.38,46.71,13.19,2.47,2.63,22.69,0.0,17.47633013780707,0.0,34.1,48.82
61.79,110.28,24.24,30.56,43.85,12.66,1.29,2.26,17.6,0.0,13.51787072243346,0.0,22.69,46.71
84.43,127.45,21.94,27.01,38.68,11.4,1.62,2.4,22.9,0.0,17.937379507318813,0.0,17.6,43.85
65.63,99.04,28.12,33.55,50.11,14.25,4.63,2.2,30.84,0.0,25.10045730824892,0.0,22.9,38.68
52.06,77.94,24.25,30.41,43.73,12.83,4.94,2.16,31.2,0.0,24.087870105062084,0.0,30.84,50.11
51.34,72.27,28.46,35.13,51.74,14.7,3.92,2.0,27.32,0.0,21.520265707168555,0.0,31.2,43.73
52.81,75.07,20.0,25.98,35.9,10.9,3.25,2.08,28.86,0.0,21.39362490733877,0.0,27.32,51.74
68.69,145.88,26.85,32.26,47.77,13.89,2.85,2.17,23.84,0.0,19.24546001202646,0.0,28.86,35.9
40.34,63.53,26.04,32.09,46.83,13.18,3.56,1.84,17.93,0.0,14.109918404351768,0.0,23.84,47.77
54.64,72.99,20.35,24.78,35.29,11.02,4.44,2.39,14.7,0.0,11.603762606671838,0.0,17.93,46.83
58.63,72.3,22.01,26.7,38.5,11.87,4.67,2.58,18.48,0.0,14.683927797833938,0.0,14.7,35.29
35.69,41.62,24.21,29.86,43.24,13.68,4.48,2.37,11.41,0.49,8.951267012313675,0.0110759493670886,18.48,38.5
51.9,57.35,21.4,29.22,39.95,15.49,3.11,2.63,9.8,7.79,6.939774983454666,0.1902319902319902,11.41,43.24
47.2,55.63,24.49,32.22,45.45,17.4,3.06,2.5,11.89,3.52,8.765385310054185,0.0757804090419806,9.8,39.95
68.38,89.07,23.66,29.47,42.38,15.74,3.13,2.47,12.11,6.09,9.403432884804726,0.140387275242047,11.89,45.45
48.49,93.72,21.4,26.64,37.84,13.58,3.1,1.96,13.5,3.39,10.452243125904484,0.0872811534500514,12.11,42.38
60.37,173.78,24.94,29.46,43.64,14.8,3.08,2.3,26.65,2.5,21.8204530531845,0.0560035842293906,13.5,37.84
58.78,115.64,29.01,34.64,51.88,16.3,3.06,2.46,30.75,2.16,25.02967171717172,0.0408472012102874,26.65,43.64
57.0,75.71,25.4,34.32,48.05,15.6,3.21,2.63,33.44,1.63,24.048018120045292,0.0332313965341488,30.75,51.88
70.48,91.02,25.61,34.25,48.2,15.28,3.98,2.8,32.94,1.88,23.931727659574467,0.0382113821138211,33.44,48.05
83.19,108.17,23.51,30.4,43.0,12.21,5.02,2.68,37.71,1.39,28.234461783439496,0.031590909090909,32.94,48.2
96.18,127.44,26.44,32.78,47.82,13.78,5.09,2.77,32.97,1.52,25.80600355239787,0.0311347808275297,37.71,43.0
67.81,79.25,22.21,29.17,40.7,11.59,5.05,2.33,31.21,1.47,22.97560822008618,0.035251798561151,32.97,47.82
54.23,62.45,21.39,26.75,37.92,10.88,4.95,2.03,33.75,4.33,26.014864864864865,0.1112538540596094,31.21,40.7
58.64,68.98,22.92,28.14,40.57,12.42,5.04,2.56,30.34,3.89,23.86385724090597,0.0935770988693769,33.75,37.92
37.8,41.33,20.57,25.13,35.79,11.35,5.01,2.1,24.66,9.0,19.412789896670496,0.2446316933949442,30.34,40.57
39.22,44.22,19.79,23.9,34.02,11.06,4.92,2.26,29.56,11.8,23.49367068273092,0.336950314106225,24.66,35.79
46.2,54.57,24.83,29.05,43.2,13.1,4.84,2.14,34.61,4.02,28.597880199667216,0.0909502262443438,29.56,34.02
45.35,56.62,22.53,27.36,39.55,11.92,4.49,2.51,21.14,2.82,16.794224259520455,0.0695437731196054,34.61,43.2
46.85,50.01,22.61,28.35,40.43,12.86,4.37,2.92,14.66,0.0,11.293444633730834,0.0,21.14,39.55
44.6,44.69,18.69,23.51,32.62,11.1,4.15,2.75,14.09,0.0,10.744271725826191,0.0,14.66,40.43
